Season,Name,Team,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
2016-2017,Nate Navigato,Toledo,So.,6-8,F,34,,69,,,,,,,169,,,,,,,,,,,,,,,,,,,
2016-2017,Nathan Adrian,West Virginia,Sr.,6-9,F,37,,,,,,,,,,,,,222,2.62,,,,,48,,,,,,1121:00,,97,125
2016-2017,Nathan Knight,William & Mary,Fr.,6-10,C,31,,,,,,,,,,,,,,,,,41,1.32,,,,,,,,,,
2016-2017,Nathan Moran,Lipscomb,Jr.,5-9,G,33,,90,,,,,,2.73,216,41.7,,,,,138,4.2,,,,,72,1.92,,,,,,
2016-2017,Nazareth Mitrou-Long,Iowa St.,Sr.,6-4,G,35,185,98,62,530,,391,47.3,2.80,255,38.4,,,,,,,,,43,,,,,,1164:00,33:15,,
2016-2017,Nicholas Baer,Iowa,So.,6-7,F,34,,,,,,,,,,,,,,,,,43,1.26,48,1.41,,,,,,,,
2016-2017,Nick Banyard,UCF,Sr.,6-8,F,36,,,,,,,,,,,,,216,,,,,,,,,,,,,,47,169
2016-2017,Nick Coppola,ULM,Sr.,5-11,G,33,,,,,,,,,,,,,,,146,4.4,,,,,51,2.86,,,1233:00,37:21,,
2016-2017,Nick Dixon,UTRGV,Jr.,6-2,G,32,201,28,173,603,18.8,386,52.1,,,,226,,,,,,,,60,1.88,,,,,,,,
2016-2017,Nick Duncan,Boise St.,Sr.,6-8,F,32,,71,,,,,,2.22,208,,,,,,,,,,,,,,,,,,,
2016-2017,Nick Emery,BYU,So.,6-2,G,34,,75,,,,,,2.21,202,,,,,,,,,,55,1.62,,,,,,,,
2016-2017,Nick Garth,Lamar University,So.,6-0,G,34,,93,,,,,,2.74,218,42.7,,,,,,,,,,,,,,,,,,
2016-2017,Nick Griffin,Saint Peter's,Jr.,6-2,G,36,,75,,,,,,,180,,,,,,,,,,,,,,,,,,,
2016-2017,Nick Harris,Col. of Charleston,So.,6-10,F,34,,,,,,,,,,,,,,,,,39,1.15,,,,,,,,,,
2016-2017,Nick Hornsby,Sacramento St.,Sr.,6-7,F,31,,,,,,,,,,,,,250,8.1,,,,,,,,,,6,,,67,183
2016-2017,Nick Lindner,Lafayette,Sr.,5-10,G,30,,77,86,,,,,2.57,204,37.7,110,78.2,,,119,4.0,,,,,76,1.57,,,1001:00,33:22,,
2016-2017,Nick Masterson,Kennesaw St.,Jr.,6-6,G,31,,86,,,,,,2.77,159,54.1,,,,,96,,,,,,37,2.59,,,,,,
2016-2017,Nick Mayo,Eastern Ky.,So.,6-9,F,31,203,32,137,575,18.5,403,50.4,,,,177,,,5.03,,,42,1.35,,,,,,,1092:00,35:13,,156
2016-2017,Nick Perkins,Buffalo,So.,6-8,F,32,,,,,,,,,,,,,214,6.7,,,,,,,,,,,,,,157
2016-2017,Nick Rutherford,Fla. Atlantic,So.,6-3,G,30,,,,,,,,,,,,,,,129,4.3,,,,,72,1.79,,,,,,
2016-2017,Nick Severado,Florida A&M,So.,6-8,G,28,,,,,,,,,,,,,,,,,28,1.00,,,,,,,,,,
2016-2017,Nick Smith,Belmont,Sr.,6-8,F,30,,69,,,,,,2.30,163,,,,,,,,,,,,,,,,,,,
2016-2017,Nick Ward,Michigan St.,Fr.,6-8,F,35,181,,123,,,306,59.2,,,,200,,227,2.77,,,54,1.54,,,,,,,,,97,130
2016-2017,Nico Carvacho,Colorado St.,Fr.,6-11,F,36,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,85,
2016-2017,Nigel Hayes,Wisconsin,Sr.,6-8,F,37,180,,135,517,,394,,,,,230,,245,6.6,,,,,,,,,,8,1198:00,,82,163
2016-2017,Nigel Riberio,Grambling,So.,6-0,G,30,,,,,,,,,,,,,,,,,,,49,1.63,,,,,,,,
2016-2017,Nigel Williams-Goss,Gonzaga,Jr.,6-3,G,38,220,43,157,640,16.8,453,48.6,,,,181,86.7,227,5.39,179,4.7,,,64,1.68,82,2.18,,,1241:00,,22,205
2016-2017,Nijal Pearson,Texas St.,Fr.,6-5,G,36,,,,,,,,,,,,,,,,,,,49,1.36,,,,,1182:00,,,
2016-2017,Nisré Zouzoua,Bryant,So.,6-3,G,31,208,92,120,628,20.3,508,,2.97,251,36.7,156,,,,,,,,45,1.45,,,,,1102:00,35:32,,
2016-2017,Noah Allen,Hawaii,Sr.,6-7,F,30,169,42,91,471,15.7,358,47.2,,,,117,77.8,,4.93,,,,,,,,,,,,,,148
2016-2017,Noah Dickerson,Washington,So.,6-8,F,31,,,,,,,,,,,,,253,8.2,,,,,,,,,,6,,,83,170
2016-2017,Noah Robotham,Akron,Jr.,6-1,G,33,,,,,,,,,,,,,,,99,,,,,,43,2.30,,,,,,
2016-2017,Norbertas Giga,Jacksonville St.,Jr.,7-0,F,33,,,,,,,,,,,,,267,8.1,,,33,1.00,,,,,,7,,,57,210
2016-2017,Norville Carey,Rider,Sr.,6-7,F,33,,,,,,,,,,,,,228,6.9,,,,,,,,,,6,,,79,149
2016-2017,Novak Topalovic,Idaho St.,So.,7-0,C,31,,,,,,,,,,,,,,,,,33,1.06,,,,,,,,,,
2016-2017,Nura Zanna,LIU,Jr.,6-7,F,32,,,,,,,,,,,,,278,8.7,,,,,,,,,,15,,,109,169
2016-2017,Obediah Church,Missouri St.,So.,6-8,F,31,,,,,,,,,,,,,,2.29,,,74,2.39,,,,,,,,,71,
2016-2017,Obi Enechionyia,Temple,Jr.,6-8,F,32,,75,,,,,,2.34,195,,,,,,,,49,1.53,,,,,,,,,,
2016-2017,Obij Aget,New Mexico,Sr.,7-1,C,31,,,,,,,,,,,,,,,,,44,1.42,,,,,,,,,,
2016-2017,Obinna Oleka,Arizona St.,Sr.,6-7,F,33,,,,,,,,,,,,,327,9.9,,,,,,,,,,16,,,98,229
2016-2017,Ojai Black,Texas St.,Sr.,6-1,G,36,,,,,,,,,,,,,,,144,4.0,,,,,66,2.18,,,,,,
2016-2017,Olin Carter III,San Diego,So.,6-2,G,30,,92,,,,,,3.07,242,38.0,,,,,,,,,,,,,,,1063:00,35:26,,
2016-2017,Omar Prewitt,William & Mary,Sr.,6-7,G,30,175,45,75,470,15.7,378,46.3,,,,,,,5.17,96,,,,,,62,1.55,,,,,,155
2016-2017,Omar Sherman,Louisiana Tech,Jr.,6-9,F,33,,,,,,,,,,,,,,,,,36,1.09,,,,,,,,,,
2016-2017,Omega Harris,UTEP,Jr.,6-3,G,31,183,49,111,526,17.0,403,45.4,,,,141,78.7,,,,,,,,,,,,,1127:00,36:21,,
2016-2017,Otis Livingston II,George Mason,So.,5-11,G,34,,,124,,,,,,,,135,91.9,,,,,,,,,,,,,1178:00,34:38,,
2016-2017,PJ Dozier,South Carolina,So.,6-6,G,36,191,,,,,469,,,,,,,,,,,,,60,1.67,,,,,,,,
2016-2017,Pancake Thomas,Western Ky.,Sr.,6-4,G,32,,76,,,,,,2.38,191,,,,,,,,,,,,,,,,1112:00,34:45,,
2016-2017,Paris Austin,Boise St.,So.,5-11,G,32,,,126,,,,,,,,165,,,,,,,,,,,,,,,,,
2016-2017,Paris Collins,Jackson St.,Jr.,6-4,G,23,,,,,,,,,,,,,,,,,,,48,,,,,,,,,
2016-2017,Paris Lee,Illinois St.,Sr.,6-0,G,35,,81,,,,,,2.31,194,,,,,,176,5.0,,,65,1.86,86,2.05,,,,,,
2016-2017,Parker Jackson-Cartwright,Arizona,Jr.,5-10,G,31,,,,,,,,,,,,,,,127,4.1,,,,,41,3.10,,,,,,
2016-2017,Patrick Benzan,Holy Cross,So.,5-11,G,32,,,,,,,,,,,,,,,,,,,45,1.41,,,,,,,,
2016-2017,Patrick Cole,N.C. Central,Sr.,6-5,G,33,203,66,164,636,19.3,529,,,194,,217,,230,7.0,184,5.6,,,,,,,1,9,1166:00,35:20,39,191
2016-2017,Paul Miller,North Dakota St.,Jr.,6-6,G,30,161,74,105,501,16.7,358,45.0,2.47,196,,,,,4.70,,,,,,,,,,,998:00,33:16,,141
2016-2017,Paul Thomas,UTEP,So.,6-8,F,32,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
2016-2017,Payton Banks,Penn St.,Jr.,6-6,F,32,,73,,,,,,2.28,202,,,,,,,,,,,,,,,,,,,
2016-2017,Payton Pritchard,Oregon,Fr.,6-2,G,39,,,,,,,,,,,,,,,141,3.6,,,45,,56,2.52,,,1105:00,,,
2016-2017,Peter Jok,Iowa,Sr.,6-6,G,32,199,84,154,636,19.9,467,,2.63,221,38.0,169,91.1,,,,,,,,,,,,,,,,
2016-2017,Peyton Aldridge,Davidson,Jr.,6-7,F,32,233,70,120,656,20.5,471,49.5,2.19,171,,144,83.3,263,8.2,,,,,,,,,,9,1180:00,36:52,54,209
2016-2017,Phil Fayne,Illinois St.,So.,6-9,F,35,,,,,,,,,,,,,222,2.51,,,40,1.14,,,,,,,,,88,134
2016-2017,Phil Forte,Oklahoma St.,Sr.,5-11,G,33,,85,84,,,,,2.58,204,41.7,88,95.5,,,,,,,,,,,,,,,,
2016-2017,Phil Valenti,Canisius,Sr.,6-7,F,34,181,,,,,361,50.1,,,,,,,,,,,,,,,,,,,,,
2016-2017,Phil Winston,Quinnipiac,Jr.,6-2,G,31,,,,,,,,,,,,,,,96,,,,,,47,2.04,,,,,,
2016-2017,Philip Whittington,USC Upstate,So.,6-9,F,33,,,,,,,,,,,,,,,,,40,1.21,,,,,,,,,,
2016-2017,Philipp Hartwich,Portland,Jr.,7-2,C,30,,,,,,,,,,,,,,,,,48,1.60,,,,,,,,,,
2016-2017,Phillip Carr,Morgan St.,Jr.,6-8,F,25,150,13,102,415,16.6,327,45.9,,,,123,82.9,237,9.5,,,,,,,,,,10,911:00,36:26,80,157
2016-2017,Prentiss Nixon,Colorado St.,So.,6-1,G,36,152,,117,,,400,,,,,144,81.3,,,,,,,,,,,,,1153:00,,,
2016-2017,Preston Parks,The Citadel,Fr.,6-2,G,30,185,77,96,543,18.1,456,,2.57,234,32.9,116,82.8,,,116,3.9,,,60,2.00,,,,,,,,
2016-2017,Przemek Karnowski,Gonzaga,Sr.,7-1,C,39,198,,,,,338,58.6,,,,,,228,,,,37,,,,,,,,,,56,172
2016-2017,QJ Peterson,VMI,Sr.,6-0,G,30,200,78,111,589,19.6,464,,2.60,212,36.8,156,,,4.77,,,,,47,1.57,,,,,,,,143
2016-2017,Quadir Welton,Saint Peter's,Sr.,6-8,C,36,,,121,,,,,,,,207,,300,8.3,,,35,,,,,,,9,,,76,224
2016-2017,Que Johnson,Western Ky.,Sr.,6-6,G,32,,65,,,,,,,188,,,,,,,,,,,,,,,,,,,
2016-2017,Quentin Goodin,Xavier,---,6-4,-,38,,,,,,,,,,,,,,,131,,,,,,74,1.77,,,,,,
2016-2017,Quentin Snider,Louisville,Jr.,6-2,G,28,,,,,,,,,,,,,,,115,4.1,,,,,42,2.74,,,,,,
2016-2017,Quincy McKnight,Sacred Heart,So.,6-4,G,32,203,27,172,605,18.9,473,,,,,222,,,,,,,,52,1.63,,,,,,,,
2016-2017,Quinndary Weatherspoon,Mississippi St.,So.,6-4,G,29,173,47,85,478,16.5,369,46.9,,,,,,,,,,,,50,1.72,,,,,,,,
2016-2017,Quinterian McConico,Alabama A&M,---,-,C,28,170,,,,,291,58.4,,,,,,209,7.5,,,,,,,,,,7,,,,149
2016-2017,Quinton Adlesh,Columbia,So.,6-1,G,27,,,,,,,,,,,,,,,,,,,36,1.33,,,,,,,,
2016-2017,Quinton Campbell,Southern Miss.,Sr.,6-7,F,31,,,91,,,,,,,,117,77.8,,4.97,,,,,,,,,,,1033:00,33:19,,154
2016-2017,Quinton Forrest,Bethune-Cookman,So.,6-4,G,32,166,,,,,311,53.4,,,,,,,2.31,,,,,46,1.44,,,,,,,74,
2016-2017,Quinton Hooker,North Dakota,Sr.,6-0,G,32,202,84,128,616,19.3,432,46.8,2.63,189,44.4,148,86.5,,,115,3.6,,,56,1.75,56,2.05,,,1147:00,35:50,,
2016-2017,Quinton Rose,Temple,Fr.,6-8,F,32,,,,,,,,,,,,,,,,,,,49,1.53,,,,,,,,
2016-2017,Quinton Stephens,Georgia Tech,Sr.,6-9,F,37,,60,,,,,,,190,,,,283,7.6,,,,,44,,,,,7,1232:00,33:17,50,233
2016-2017,RJ White,UNC Greensboro,Sr.,6-8,C,35,181,,,,,329,55.0,,,,,,233,6.7,,,39,1.11,,,,,,5,,,74,159
2016-2017,Raiquan Clark,LIU,So.,6-4,G,32,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,79,
2016-2017,Rakia Battle,Alabama A&M,Sr.,5-10,G,29,,,,,,,,,,,,,,,142,4.9,,,,,85,1.67,,,,,,
2016-2017,Randy Onwuasor,Southern Utah,Sr.,6-3,G,33,253,59,215,780,23.6,619,,,193,,260,82.7,217,6.6,,,,,50,1.52,,,,5,1155:00,35:00,52,165
2016-2017,Randy Phillips,Radford,Jr.,6-8,C,32,,,,,,,,,,,,,,2.63,,,,,,,,,,,,,84,
2016-2017,Rashaan Holloway,Massachusetts,So.,6-11,C,33,,,,,,,,,,,,,,,,,42,1.27,,,,,,,,,,
2016-2017,Rashaan Surles,Mississippi Val.,Sr.,6-4,G,31,,,,,,,,,,,,,,,,,,,43,1.39,,,,,,,,
2016-2017,Rashad Lindsey,Arkansas St.,Jr.,5-11,G,32,,,,,,,,,,,,,,,,,,,,,,,,,1085:00,33:54,,
2016-2017,Rashaun Madison,N.C. Central,Sr.,6-0,G,34,,90,,,,,,2.65,269,33.5,,,,,,,,,,,,,,,,,,
2016-2017,Rashawn Thomas,A&M-Corpus Christi,Sr.,6-8,F,34,268,14,215,765,22.5,511,52.4,,,,298,,305,9.0,,,69,2.03,53,1.56,,,,13,1145:00,33:40,78,227
2016-2017,Rasheem Dunn,St. Francis Brooklyn,---,6-2,-,30,,,112,,,,,,,,162,,,,,,,,43,1.43,,,,,,,,
2016-2017,Rashid Gaston,Xavier,---,-,-,38,,,,,,,,,,,,,225,2.45,,,,,,,,,,7,,,93,132
2016-2017,Raven Lee,Eastern Mich.,Sr.,6-3,G,29,144,53,114,455,15.7,,,,,,133,85.7,,,,,,,45,1.55,,,,,,,,
2016-2017,Ray Bowles,Pacific,Jr.,6-5,G,33,141,,114,,,397,,,,,162,,,,,,,,,,,,,,1106:00,33:30,,
2016-2017,Ray Crossland,Eastern Ill.,Jr.,6-6,F,29,,,,,,,,,,,,,,,,,,,44,1.52,,,,,,,,
2016-2017,Reed Tellinghuisen,South Dakota St.,Jr.,6-7,G,35,,74,,,,,,2.11,222,,,,,,,,,,,,,,,,1150:00,,,
2016-2017,Reed Timmer,Drake,Jr.,6-1,G,31,,,126,,,,,,,,152,82.9,,,,,,,,,,,,,,,,
2016-2017,Reggie Agbeko,Saint Louis,Sr.,6-7,F,33,,,,,,,,,,,,,223,6.8,,,,,,,,,,5,,,65,158
2016-2017,Reggie Baker,Bethune-Cookman,Sr.,6-4,G,32,157,,,,,413,,,,,,,,,,,,,,,,,,,,,,
2016-2017,Reggie Dillard,Presbyterian,Sr.,6-4,G,30,,,,,,,,,,,,,,,106,3.5,,,,,,,,,,,,
2016-2017,Reggie Lynch,Minnesota,Jr.,6-10,C,33,,,,,,,,,,,,,,,,,114,3.45,,,,,,,,,,
2016-2017,Reggie Upshaw Jr.,Middle Tenn.,Sr.,6-8,F,36,199,,92,523,,379,52.5,,,,,,245,6.8,,,,,,,,,,5,1151:00,,79,166
2016-2017,Reginal Johnson,Alcorn,Jr.,6-5,F,32,204,27,65,500,15.6,387,52.7,,,,,,226,7.1,,,,,,,,,,6,,,82,144
2016-2017,Reid Travis,Stanford,Jr.,6-8,F,27,176,0,118,470,17.4,304,57.9,,,,181,,239,8.9,,,,,,,,,,9,,,93,146
2016-2017,Remond Brown,Grambling,So.,-,G,33,183,,,,,396,46.2,,,,,,,,,,,,61,1.85,,,,,1087:00,32:56,,
2016-2017,Reveal Chukwujekwu,Houston Christian,Sr.,6-3,G,31,,,107,,,,,,,,130,82.3,256,8.3,,,,,,,,,,11,,,93,163
2016-2017,Ria'N Holland,Mercer,Jr.,6-0,G,31,177,77,102,533,17.2,405,,2.48,204,,121,84.3,,,,,,,,,,,,,,,,
2016-2017,Rickey McGill,Iona,So.,6-1,G,35,,,,,,,,,,,,,,,180,5.1,,,62,1.77,70,2.57,,,1122:00,,,
2016-2017,Ridge Shipley,Cal Poly,Sr.,6-0,G,31,,,,,,,,,,,,,,,106,,,,,,58,1.83,,,,,,
2016-2017,Riley LaChance,Vanderbilt,Jr.,6-2,G,35,,70,,,,,,,144,,,,,,137,3.9,,,,,67,2.04,,,1090:00,,,
2016-2017,Rob Edwards,Cleveland St.,So.,6-4,G,31,167,63,114,511,16.5,404,,,,,149,,,,,,,,,,,,,,,,,
2016-2017,Rob Gray,Houston,Jr.,6-1,G,31,233,63,109,638,20.6,493,47.3,,,,134,81.3,,,,,,,,,,,,,,,,
2016-2017,Robert Cartwright,Stanford,So.,6-2,G,31,,,,,,,,,,,,,,,110,3.5,,,,,48,2.29,,,,,,
2016-2017,Robert Champion,Holy Cross,Sr.,6-6,G,32,,,,,,,,,,,,,,,,,,,51,1.59,,,,,,,,
2016-2017,Robert Hubbs III,Tennessee,Sr.,6-5,G,32,170,,93,,,364,46.7,,,,111,83.8,,,,,,,,,,,,,,,,
2016-2017,Robert Johnson,Indiana,Jr.,6-3,G,34,,70,,,,,,,189,,,,,,,,,,,,,,,,,,,
2016-2017,Robert Kelly,Savannah St.,Fr.,6-7,F,26,,,,,,,,,,,,,,2.46,,,29,1.12,,,,,,,,,64,
2016-2017,Robert Montgomery,St. Francis Brooklyn,---,-,-,30,,,,,,,,,,,,,,,,,32,1.07,,,,,,,,,,
2016-2017,Robert Williams,Texas A&M,Fr.,6-9,F,31,,,,,,,,,,,,,253,8.2,,,77,2.48,,,,,,11,,,94,159
2016-2017,Rodney Bullock,Providence,Jr.,6-8,F,33,177,46,119,519,15.7,406,,,,,159,,,5.03,,,,,,,,,,5,,,,166
2016-2017,Rodney Pryor,Georgetown,Sr.,6-5,G,32,212,84,69,577,18.0,442,48.0,2.63,204,41.2,,,,,,,,,,,,,,,,,,
2016-2017,Rodney Purvis,UConn,Sr.,6-4,G,33,151,77,,,,406,,2.33,226,,,,,,,,,,,,,,,,1217:00,36:52,,
2016-2017,Rodney Simeon,Alabama St.,Jr.,6-5,G,30,,73,,,,,,2.43,222,,,,,,,,,,,,,,,,,,,
2016-2017,Rodney Williams,Drexel,Sr.,6-7,F,32,184,3,128,499,15.6,350,52.6,,,,190,,217,6.8,,,,,,,,,,5,,,80,137
2016-2017,Rokas Gustys,Hofstra,Jr.,6-9,F,28,,,,,,,,,,,,,338,12.1,,,,,,,,,,11,,,108,230
2016-2017,Romelo Banks,North Florida,Jr.,6-11,C,33,,,,,,,,,,,,,,2.18,,,42,1.27,,,,,,,,,72,
2016-2017,Ron Patterson,IU Indy,Jr.,6-2,G,32,,,,,,,,,,,,,,,,,,,44,1.38,,,,,,,,
2016-2017,Ronald Delph,Fla. Atlantic,Jr.,7-0,C,30,,,,,,,,,,,,,,4.83,,,44,1.47,,,,,,,,,,145
2016-2017,Ronnie Boyce,San Francisco,Sr.,6-3,G,33,168,,,,,371,45.3,,,,,,,,,,,,,,,,,,,,,
2016-2017,Ronshad Shabazz,App State,So.,6-5,G,30,176,66,84,502,16.7,442,,2.20,201,,,,,,,,,,,,,,,,,,,
2016-2017,Roschon Prince,Long Beach St.,Jr.,6-6,F,34,,,112,,,,,,,,147,,235,6.9,,,,,,,,,,9,,,63,172
2016-2017,Ruben Guerrero,South Fla.,Jr.,6-11,C,30,,,,,,,,,,,,,,,,,37,1.23,,,,,,,,,,
2016-2017,Russell Woods,Missouri,Sr.,6-8,F,32,,,,,,,,,,,,,,2.22,,,,,,,,,,,,,71,
2016-2017,Ryan Andino,UMES,Jr.,6-2,G,34,,121,,,,,,3.56,318,38.1,,,,,,,,,,,,,,,,,,
2016-2017,Ryan Daly,Delaware,Fr.,6-4,F,32,189,62,71,511,16.0,445,,,183,,,,238,7.4,,,,,,,,,,6,1072:00,33:30,67,171
2016-2017,Ryan Funk,Marist,So.,6-5,F,28,,81,,,,,,2.89,200,40.5,,,,,,,,,,,,,,,,,,
2016-2017,Ryan Jones,UMass Lowell,Fr.,6-3,G,31,,,,,,,,,,,,,,,,,,,,,,,,,1051:00,33:54,,
2016-2017,Ryan Kemrite,Liberty,Jr.,6-4,G,33,,81,98,,,,,2.45,192,,116,84.5,,,,,,,,,,,,,,,,
2016-2017,Ryan Sawvell,Wofford,Sr.,6-8,F,33,,,,,,,,,,,,,215,,,,,,,,,,,6,,,64,151
2016-2017,Ryan Smith,Tulane,Sr.,6-11,C,31,,,,,,,,,,,,,,,,,43,1.39,,,,,,,,,,
2016-2017,Ryan Taylor,Marshall,Sr.,6-5,F,32,160,,122,,,315,50.8,,,,190,,268,8.4,,,53,1.66,,,,,,13,,,66,202
2016-2017,Ryan Weber,Ball St.,Sr.,6-6,G,34,,67,,,,,,,183,,,,,,,,,,,,,,,,,,,
2016-2017,Sa'eed Nelson,American,Fr.,6-1,G,30,,,100,,,,,,,,178,,,,,,,,72,2.40,,,,,1136:00,37:52,,
2016-2017,Sabri Thompson,Northwestern St.,Sr.,6-3,G,29,,76,,,,,,2.62,177,42.9,,,,,,,,,,,,,,,,,,
2016-2017,Sagaba Konate,West Virginia,Fr.,6-8,F,37,,,,,,,,,,,,,,,,,53,1.43,,,,,,,,,,
2016-2017,Sam Cassell Jr.,Iona,Sr.,6-4,G,35,,79,,,,,,2.26,217,,,,,,105,,,,,,49,2.14,,,,,,
2016-2017,Sam Downey,Yale,Sr.,6-9,F,29,,,,,,,,,,,,,200,6.9,,,,,,,,,,5,,,75,
2016-2017,Sam Hunt,N.C. A&T,Jr.,6-2,G,32,,74,,,,,,2.31,209,,,,,,,,,,,,,,,,1100:00,34:22,,
2016-2017,Sam McDaniel,ULM,Jr.,6-6,F,33,,,,,,,,,,,,,,4.82,,,,,,,,,,6,,,,159
2016-2017,Sam Merrill,Utah St.,Fr.,6-5,G,30,,,,,,,,,,,,,,,98,,,,,,30,3.27,,,,,,
2016-2017,Sammy Mojica,Drexel,Jr.,6-3,G,32,,59,,,,,,,189,,,,,,,,,,,,,,,,,,,
2016-2017,Scoochie Smith,Dayton,Sr.,6-2,G,32,,,,,,,,,,,,,,,144,4.5,,,51,1.59,70,2.06,,,,,,
2016-2017,Scottie Lindsey,Northwestern,Jr.,6-5,G,32,,58,,,,,,,180,,,,,,,,,,,,,,,,,,,
2016-2017,Sean O'Brien,Colgate,Jr.,6-2,G,32,,68,,,,,,2.13,167,,,,,,132,4.1,,,,,71,1.86,,,1159:00,36:13,,
2016-2017,Sean O'Brien,Southern Ill.,Sr.,6-6,G,33,167,,,,,337,49.6,,,,,,279,8.5,,,,,,,,,,9,,,78,201
2016-2017,Sean Sellers,Ball St.,Jr.,6-6,F,34,,68,,,,,,,164,,,,,,,,,,,,,,,,,,,
2016-2017,Sebastian Saiz,Ole Miss,Sr.,6-9,F,36,181,,160,543,,386,46.9,,,,215,,409,11.4,,,38,1.06,,,,,,23,1200:00,33:20,122,287
2016-2017,Semi Ojeleye,SMU,Jr.,6-7,F,35,210,73,172,665,19.0,431,48.7,2.09,172,,219,78.5,240,6.9,,,,,,,,,,6,1195:00,34:08,80,160
2016-2017,Seth Dugan,Western Mich.,So.,7-0,C,32,,,,,,,,,,,,,,2.31,,,,,,,,,,,,,74,
2016-2017,Shake Milton,SMU,So.,6-6,G,35,,82,,,,,,2.34,194,,,,,,159,4.5,,,44,,62,2.56,,,1239:00,35:24,,
2016-2017,Shamorie Ponds,St. John's (NY),Fr.,6-1,G,33,191,75,116,573,17.4,435,,2.27,200,,141,82.3,,,102,,,,68,2.06,62,1.65,,,1109:00,33:36,,
2016-2017,Shane Hammink,Valparaiso,Sr.,6-7,G,33,169,,118,,,338,50.0,,,,146,80.8,,,,,,,,,,,,,,,,
2016-2017,Shane Whitfield,Campbell,Jr.,6-7,F,37,,,167,,,,,,,,222,,,,,,,,,,,,,,,,,
2016-2017,Shannon Evans II,Arizona St.,Jr.,6-1,G,33,161,72,100,,,392,,2.18,201,,120,83.3,,,144,4.4,,,,,62,2.32,,,1179:00,35:43,,
2016-2017,Shaq Calhoun,South Alabama,Jr.,6-4,G,32,,,,,,,,,,,,,,,,,,,45,1.41,,,,,,,,
2016-2017,Shaq Morris,Wichita St.,Jr.,6-8,F,34,,,,,,,,,,,,,,,,,35,1.03,,,,,,,,,,
2016-2017,Shawn Anderson,Navy,Jr.,6-4,G,30,,,106,,,,,,,,161,,,,,,,,,,,,,,,,,
2016-2017,Shawn Johnson,UIW,Jr.,6-4,G,29,,70,,,,,,2.41,168,,,,204,7.0,,,46,1.59,,,,,,,,,,168
2016-2017,Shawn Prudhomme,Southern U.,Sr.,6-4,F,33,212,75,80,579,17.5,482,,2.27,206,,,,,,,,33,1.00,,,,,,,1103:00,33:25,,
2016-2017,Shawndre' Jones,Richmond,Sr.,5-11,G,35,198,69,122,587,16.8,428,46.3,,176,,149,81.9,,,136,3.9,,,,,68,2.00,,,1274:00,36:24,,
2016-2017,Sheldon Jeter,Pittsburgh,Sr.,6-8,F,33,,,,,,,,,,,,,240,7.3,,,33,1.00,,,,,,,,,79,161
2016-2017,Shelton Mitchell,Clemson,Jr.,6-3,G,29,,,75,,,,,,,,94,79.8,,,103,3.6,,,,,59,1.75,,,,,,
2016-2017,Shep Garner,Penn St.,Jr.,6-2,G,33,,82,,,,,,2.48,230,,,,,,,,,,,,,,,,,,,
2016-2017,Sherron Dorsey-Walker,Oakland,Sr.,6-4,G,34,,70,,,,,,,192,,,,,,129,3.8,,,,,74,1.74,,,1113:00,,,
2016-2017,Shizz Alston,Temple,So.,6-4,G,32,,67,,,,,,2.09,194,,,,,,131,4.1,,,53,1.66,48,2.73,,,1164:00,36:22,,
2016-2017,Sidy Djitte,Clemson,Sr.,6-10,C,32,,,,,,,,,,,,,247,7.7,,,,,,,,,,,,,116,131
2016-2017,Simi Socks,UIW,So.,6-6,F,28,140,,112,,,301,46.5,,,,134,83.6,,,,,,,,,,,,,,,,
2016-2017,Sindarius Thornwell,South Carolina,Sr.,6-5,G,31,195,58,215,663,21.4,439,44.4,,,,259,83.0,221,7.1,,,,,66,2.13,,,,6,1064:00,34:19,77,144
2016-2017,Siyani Chambers,Harvard,Sr.,6-0,G,27,,,71,,,,,,,,84,84.5,,,159,5.9,,,,,53,3.00,,,,,,
2016-2017,Skylar Mays,LSU,---,6-4,G,31,,,,,,,,,,,,,,,113,3.6,,,,,69,1.64,,,,,,
2016-2017,Solomon Mangham,Howard,Sr.,6-7,F,34,,59,,,,,,,198,,,,240,7.1,,,,,,,,,,7,,,63,177
2016-2017,Spencer Weisz,Princeton,Sr.,6-4,F,30,,,,,,,,,,,,,,,125,4.2,,,46,1.53,48,2.60,,,994:00,33:08,,
2016-2017,Stephan Jiggetts,FDU,Jr.,6-1,G,30,,,125,,,,,,,,153,81.7,,,125,4.2,,,,,,,1,,1059:00,35:18,,
2016-2017,Stephen Brown,Bucknell,Jr.,5-11,G,35,,,,,,,,,,,,,,,167,4.8,,,57,1.63,63,2.65,,,,,,
2016-2017,Stephen Thompson Jr.,Oregon St.,So.,6-4,G,26,148,57,71,424,16.3,,,2.19,,,,,,,,,,,37,1.42,,,,,940:00,36:09,,
2016-2017,Stephen Ugochukwu,McNeese,Jr.,6-7,C,26,,,,,,,,,,,,,209,8.0,,,27,1.04,,,,,,6,,,67,142
